Data;POMO3;AURE3;BBAS3;ITUB3
17/07/2025;6.392783083;8.99;20.74;31.5201963
18/07/2025;6.295034106;8.94;20.26;30.95751193
21/07/2025;6.353683493;9.05;19.86;31.29314822
22/07/2025;6.392783083;9.42;19.89;30.85879538
23/07/2025;6.500306958;9.72;20.21;31.36224981
24/07/2025;6.49053206;9.76;20.07;30.86866703
25/07/2025;6.558956344;9.6;20.24;31.05622849
28/07/2025;6.441657572;9.32;19.94;30.40469922
29/07/2025;6.383008186;9.22;19.95;30.58238902
30/07/2025;6.402557981;9.44;19.9;30.84892372
31/07/2025;6.500306958;9.27;19.7;30.92789696
01/08/2025;6.852203274;9.65;18.35;30.80704918
04/08/2025;6.774004093;9.73;18.72;31.1626291
05/08/2025;6.940177353;9.56;18.62;31.34041906
06/08/2025;6.969502046;9.85;18.7;31.9034206
07/08/2025;7.03792633;9.92;18.91;32.31826384
08/08/2025;6.91085266;9.74;18.93;32.6442121
11/08/2025;6.842428377;9.6;19.1;32.83187928
12/08/2025;6.998826739;9.69;19.24;33.4837758
13/08/2025;6.901077763;9.64;19.28;33.32574028
14/08/2025;6.920627558;9.82;19.85;33.44426692
15/08/2025;6.940177353;9.95;20.65;33.088687
18/08/2025;6.998826739;10.42;21.07;33.32574028
19/08/2025;6.852203274;10.36;19.8;32.41053701
20/08/2025;6.920627558;10.78;19.86;32.54033891
21/08/2025;6.920627558;10.5;19.69;32.59026272
22/08/2025;7.145450205;10.53;20.5;33.29918081
25/08/2025;7.135675307;10.72;20.05;33.06953129
26/08/2025;7.165;10.83;20.38;32.85985129
27/08/2025;7.31;10.65;20.63;33.3291351
28/08/2025;7.36;10.69;21.05;33.95817509
29/08/2025;7.4;10.86;21.39;34.35756557
01/09/2025;7.42;10.53;21.09;34.55501567
02/09/2025;7.43;10.12;20.42;34.05552137
03/09/2025;7.47;10.12;20.28;33.68589558
04/09/2025;7.4;10.42;20.42;33.96561239
05/09/2025;7.53;10.78;21.15;34.41515726
08/09/2025;7.5;10.8;20.95;34.16541011
09/09/2025;7.62;10.65;21.4;33.78579444
10/09/2025;7.71;10.52;22.05;33.77580456
11/09/2025;7.8;10.65;22.22;33.8157641
12/09/2025;7.91;10.71;22.31;33.52605741
15/09/2025;8.01;11.01;21.82;33.7458349
16/09/2025;8.05;10.96;21.94;33.58599672
17/09/2025;8.23;11.06;21.87;34.3152584
18/09/2025;8.41;10.77;22.1;34.15542023
19/09/2025;8.11;10.7;21.62;34.51505612
22/09/2025;8;10.57;21.51;34.09548091
23/09/2025;8.08;10.64;22.13;34.50506624
24/09/2025;8.12;10.63;22.11;34.41515726
25/09/2025;7.78;10.4;21.79;34.1054708
26/09/2025;7.69;10.37;22.11;34.23533931
29/09/2025;7.59;10.32;22.12;34.42514715
30/09/2025;7.51;10.27;22.09;34.61495498
01/10/2025;7.26;10.08;21.93;33.95293766
02/10/2025;7.38;10.09;21.76;33.62310342
03/10/2025;7.59;10.37;21.58;33.86298287
06/10/2025;7.54;10.42;21.41;33.48317373
07/10/2025;7.38;10.14;21.21;32.85349017
08/10/2025;7.3;10.37;21.12;33.02340478
09/10/2025;7.22;10.73;21.19;33.07337967
10/10/2025;7.21;10.65;20.61;33.05338971
13/10/2025;7.31;10.74;20.88;33.29326917
14/10/2025;7.19;10.46;20.7;33.2332993
15/10/2025;7.21;10.55;20.32;33.13334953
16/10/2025;7.3;10.76;20.37;33.17332944
17/10/2025;7.21;10.93;20.9;33.29326917
20/10/2025;7.34;10.8;20.77;33.75303812
21/10/2025;7.55;11;20.54;33.61310844
22/10/2025;7.33;11.42;20.69;33.90296278
23/10/2025;7.5;11.65;20.65;34.01290753
24/10/2025;7.51;11.45;20.52;33.95293766
27/10/2025;7.56;11.77;20.85;34.25278698
28/10/2025;7.61;11.05;20.96;34.37272671
29/10/2025;7.55;10.72;21.22;35.16232991
30/10/2025;7.62;10.63;21.63;35.05238516
31/10/2025;6.82;10.99;21.9;35.12235
03/11/2025;6.47;10.83;22.08;35.66
04/11/2025;6.55;11.11;22.27;35.51
05/11/2025;6.58;11.6;22.61;35.75
06/11/2025;6.38;11.67;22.86;35.8
07/11/2025;6.37;11.33;22.89;35.75
10/11/2025;6.57;11.55;22.78;36.03
11/11/2025;6.5;11.53;23.47;36.59
12/11/2025;6.38;11.45;22.8;35.7
13/11/2025;6.39;11.28;22.5;35.79
14/11/2025;6.46;11.17;22.44;35.92
17/11/2025;6.33;11.09;22.5;35.64
